Link,Gendre,Title,Artist
https://music.youtube.com/watch?v=5X-Mrc2l1d0&feature=share,Disco,Rock with you,Michael Jackson
https://music.youtube.com/watch?v=Gs069dndIYk&feature=share,Disco,September,"Earth, wind & fire"
https://music.youtube.com/watch?v=bEeaS6fuUoA&feature=share,Disco,Lovely Day,Bill Withers
https://music.youtube.com/watch?v=1hHSH9sJUEo&feature=share,Disco,Little L,Jamiroquai
https://music.youtube.com/watch?v=MWd5379FMGU&feature=share,Disco,Don't you worry 'bout a thing,Incognito
https://music.youtube.com/watch?v=mMfxI3r_LyA&feature=share,Disco,"Lady, hear me tonight",Modjo
https://music.youtube.com/watch?v=FQlAEiCb8m0&feature=share,Disco,Music sounds better with you,Stardust
https://music.youtube.com/watch?v=rjlSiASsUIs&feature=share,Disco,Sexual Healing,Marvin Gaye
https://music.youtube.com/watch?v=1GlJ1lFvkK4&feature=share,Disco,She works hard for the money,Donna Summer
https://music.youtube.com/watch?v=QYHxGBH6o4M&feature=share,Disco,Super freak,Rick James
https://music.youtube.com/watch?v=BNirQXe8HOA&feature=share,Disco,Ain't Nobody,Rufus
https://music.youtube.com/watch?v=pEmX5HR9ZxU&feature=share,Disco,And the beat goes on,The whispers
https://music.youtube.com/watch?v=1dNIQVYGXbM&feature=share,Disco,Give it to me baby,Rick James
https://music.youtube.com/watch?v=YpZgagU50KE&feature=share,Disco,Talking in your sleep,The romantics
https://music.youtube.com/watch?v=n3qQtSRmHxo&feature=share,Disco,Don't stop 'til you get enough,Michael Jackson
https://music.youtube.com/watch?v=wem2YgNIeBs&feature=share,Disco,Get Lucky,Daft Punk
https://music.youtube.com/watch?v=wem2YgNIeBs&feature=share,Disco,Treasure,Bruno Mars
https://music.youtube.com/watch?v=ZBFBenxVueI&feature=share,Disco,Last night a DJ saved my life,Indeep
https://music.youtube.com/watch?v=KFS9c852M_k&feature=share,Disco,Somebody is watching me,Rockwell
https://music.youtube.com/watch?v=QAo_Ycocl1E&feature=share,Disco,Africa,Toto
https://music.youtube.com/watch?v=Q5C9oeKxJzo&feature=share,Disco,Good times,Chic
https://music.youtube.com/watch?v=COSMzAASQj4&feature=share,Disco,Baby be mine,Michael Jackson
https://music.youtube.com/watch?v=VZkRAp9XMIg&feature=share,Disco,Virtual insanity,Jamiroquai
https://music.youtube.com/watch?v=xI9NfAetZyk&feature=share,Disco,Move your feet,Junior Senior
https://music.youtube.com/watch?v=hYeqlUgZuwQ&feature=share,Disco,Chillin',Modjo
https://music.youtube.com/watch?v=NqThf-MpCjs&feature=share,Disco,Gypsy Woman,Crystal waters
https://music.youtube.com/watch?v=q-ZQbWQqZuA&feature=share,Disco,Sing it back,Moloko
https://music.youtube.com/watch?v=Ng5CTXFPNhI&feature=share,Disco,Don't call me Baby,Madison Avenue
https://music.youtube.com/watch?v=Hp4OU17P0Lw&feature=share,Disco,Space cowboy,Jamiroquai
https://music.youtube.com/watch?v=YfUxdCvCXk0&feature=share,Disco,Use the force,Jamiroquai
https://music.youtube.com/watch?v=PruEhg1IYsw&feature=share,Metal,World painted Blood,Slayer
https://music.youtube.com/watch?v=JC9jhtuscZ4&feature=share,Metal,Die MF Die,Dope
https://music.youtube.com/watch?v=_Ho_ZsIktaw&feature=share,Metal,I-E-A-I-A-I-O,System Of a Down
https://music.youtube.com/watch?v=EOU2HjLCgJA&feature=share,Metal,Sulfur,Slipknot
https://music.youtube.com/watch?v=DBOfabotqP8&feature=share,Metal,I'm Broken,Pantera
https://music.youtube.com/watch?v=W4DfbinBgL4&feature=share,Metal,The trooper,Iron Maiden
https://music.youtube.com/watch?v=THO9ycDW8tA&feature=share,Metal,Hardwired,Metalica
https://music.youtube.com/watch?v=ihgc5LQbjg8&feature=share,Metal,Freak on a leash,Korn
https://music.youtube.com/watch?v=GL56LY6fE0E&feature=share,Metal,Hells Bells,AC/DC
https://music.youtube.com/watch?v=hwy3W6Hf5rc&feature=share,Metal,Natural Born Killer,Avenged sevenfold
https://music.youtube.com/watch?v=iYcbfc_UB6M&feature=share,Metal,Bodies,Drowning Pool
https://music.youtube.com/watch?v=VVLAnjtpXeM&feature=share,Metal,Stricken,Disturbed
https://music.youtube.com/watch?v=8uC0dqxZmcY&feature=share,Metal,Progenies of the grat apocalypse,Dimmu Borgir
https://music.youtube.com/watch?v=j2R6uT7uLFg&feature=share,Metal,Last Resort,Papa Roach
https://music.youtube.com/watch?v=0Sn0J5INxyA&feature=share,Metal,Whisplash,Motorhead
https://music.youtube.com/watch?v=IxkLv2P1Mkk&feature=share,Metal,Once upon a pale horse,Behemoth
https://music.youtube.com/watch?v=k0lXE1sbwD4&feature=share,Metal,Repentless,Slayer
https://music.youtube.com/watch?v=Ge3lXjKiWXQ&feature=share,Metal,Rock you like a hurricane,Scorpion
https://music.youtube.com/watch?v=mUEsqQpact0&feature=share,Metal,Toxicity,System Of a Down
https://music.youtube.com/watch?v=Ub_NI1lCrdA&feature=share,Metal,The Devil in I,Slipknot
https://music.youtube.com/watch?v=JYJ6QJqy92s&feature=share,Metal,Killing in the name,Rage against the machine
https://music.youtube.com/watch?v=B2lmOei7qfk&feature=share,Metal,Duality,Slipknot
https://music.youtube.com/watch?v=kOV2iTeGQik&feature=share,Metal,Walk,Pantera
https://music.youtube.com/watch?v=05M-0KyHLC4&feature=share,Metal,Hacksaw surgery,Guttural Slug
https://music.youtube.com/watch?v=OMtq6JzREcA&feature=share,Metal,BYOB,System Of a Down
https://music.youtube.com/watch?v=uaFzmZrKKKw&feature=share,Metal,Scourge of Iron,Cannibal Corpse
https://music.youtube.com/watch?v=XYZue7_NQew&feature=share,Metal,Unsainted,Slipknot
https://music.youtube.com/watch?v=-XlW-cyAdiw&feature=share,Metal,Psychosocial,Slipknot
https://music.youtube.com/watch?v=KAljnUezZFk&feature=share,Metal,Nightmare,Avenged sevenfold
https://music.youtube.com/watch?v=msTVnawtLVw&feature=share,Metal,Twisted transistor,Korn
https://music.youtube.com/watch?v=PnpEOtzb668&feature=share,Reggaeton,Pa que retozen,Tego Calderón
https://music.youtube.com/watch?v=xVgjioJJ12M&feature=share,Reggaeton,Al natural,Tego Calderón
https://music.youtube.com/watch?v=h3WFI_NIZ2o&feature=share,Reggaeton,Dale Don Dale,Don Omar
https://music.youtube.com/watch?v=zs7bnoXT42g&feature=share,Reggaeton,Guatauba,Plan B
https://music.youtube.com/watch?v=W-PtrHHxDyM&feature=share,Reggaeton,Siente el Boom,Tito el Bambino
https://music.youtube.com/watch?v=9e2Sa6n5Zl4&feature=share,Reggaeton,Me pones en tensión,Zion y Lennox
https://music.youtube.com/watch?v=4Kjd6Q8aqn0&feature=share,Reggaeton,Aparentemente,Arcangel
https://music.youtube.com/watch?v=E02NBXm9r9k&feature=share,Reggaeton,Esta noche de travesura,DJ Nelson
https://music.youtube.com/watch?v=ylLL6adLzmg&feature=share,Reggaeton,Normal,Feid
https://music.youtube.com/watch?v=C3lXxoQPqoA&feature=share,Reggaeton,Rakata,Wisin & Yandel
https://music.youtube.com/watch?v=4aDDEMuO2es&feature=share,Reggaeton,Solos,Tony Dize
https://music.youtube.com/watch?v=zlwT3r2pArk&feature=share,Reggaeton,Hooka,Don Omar
https://music.youtube.com/watch?v=IWO7w1dBS7A&feature=share,Reggaeton,Regalame una noche,J Alvarez
