Link,Gendre,Title,Artist
https://music.youtube.com/watch?v=5X-Mrc2l1d0&feature=share,Disco,Rock with you,Michael Jackson
https://music.youtube.com/watch?v=Gs069dndIYk&feature=share,Disco,September,"Earth, wind & fire"
https://music.youtube.com/watch?v=bEeaS6fuUoA&feature=share,Disco,Lovely Day,Bill Withers
https://music.youtube.com/watch?v=1hHSH9sJUEo&feature=share,Disco,Little L,Jamiroquai
https://music.youtube.com/watch?v=MWd5379FMGU&feature=share,Disco,Don't you worry 'bout a thing,Incognito
https://music.youtube.com/watch?v=JC9jhtuscZ4&feature=share,Metal,Die MF Die,Dope
https://music.youtube.com/watch?v=_Ho_ZsIktaw&feature=share,Metal,I-E-A-I-A-I-O,System Of a Down
https://music.youtube.com/watch?v=EOU2HjLCgJA&feature=share,Metal,Sulfur,Slipknot
https://music.youtube.com/watch?v=DBOfabotqP8&feature=share,Metal,I'm Broken,Pantera
https://music.youtube.com/watch?v=W4DfbinBgL4&feature=share,Metal,The trooper,Iron Maiden
https://music.youtube.com/watch?v=PnpEOtzb668&feature=share,Reggaeton,Pa que retozen,Tego Calderón
https://music.youtube.com/watch?v=xVgjioJJ12M&feature=share,Reggaeton,Al natural,Tego Calderón
https://music.youtube.com/watch?v=h3WFI_NIZ2o&feature=share,Reggaeton,Dale Don Dale,Don Omar
https://music.youtube.com/watch?v=zs7bnoXT42g&feature=share,Reggaeton,Guatauba,Plan B
https://music.youtube.com/watch?v=W-PtrHHxDyM&feature=share,Reggaeton,Siente el Boom,Tito el Bambino
